address,current_zone,current_potential_units,distance_to_station_ft,ballot_zone,ballot_potential_units,additional_units
1414 N LOWELL BLVD,G-RH-3,11.0,1184.3147167335176,G-RH-3,11,0.0
1445 N KING ST,G-RH-3,11.0,1328.411376721156,G-RH-3,11,0.0
1376 N LOWELL BLVD,G-MU-5,21.0,896.9134294323214,G-MU-5,21,0.0
1376 N KNOX CT,G-RH-3,13.0,824.2757945300549,G-RH-3,13,0.0
1350 N KNOX CT,G-RH-3,12.0,679.0857204663979,G-RH-3,12,0.0
1336 N KNOX CT,G-RH-3,12.0,583.6116316961507,C-MX-8x,33,21.0
3316 W 14TH AVE,G-RH-3,11.0,1088.1555837049084,G-RH-3,11,0.0
3310 W 14TH AVE,G-RH-3,11.0,1115.6823506308451,G-RH-3,11,0.0
3304 W 14TH AVE,G-RH-3,11.0,1143.3925017293136,G-RH-3,11,0.0
1001 N KING ST,U-RH-2.5,25.0,928.5619113199142,U-RH-2.5,24,-1.0
1015 N KING ST,U-RH-2.5,25.0,879.5369034951677,U-RH-2.5,24,-1.0
1080 N KNOX CT,E-RH-2.5,21.0,464.86945522483916,C-MX-8x,33,12.0
1040 N KNOX CT,E-RH-2.5,21.0,744.5967062715047,E-RH-2.5,21,0.0
1007 N JULIAN ST,E-RH-2.5,21.0,979.5816022414922,E-RH-2.5,21,0.0
1015 N JULIAN ST,E-RH-2.5,21.0,933.0989022594698,E-RH-2.5,21,0.0
1045 N JULIAN ST,E-RH-2.5,21.0,707.8342275365412,E-RH-2.5,21,0.0
1075 N JULIAN ST,E-RH-2.5,21.0,582.3687485822419,C-MX-8x,33,12.0
1055 N JULIAN ST,E-RH-2.5,21.0,664.8896775417514,E-RH-2.5,21,0.0
1065 N JULIAN ST,E-RH-2.5,21.0,622.9923606817254,C-MX-8x,33,12.0
1090 N KNOX CT,E-RH-2.5,21.0,420.93783754086894,C-MX-8x,33,12.0
1064 N KNOX CT,E-RH-2.5,21.0,578.9888420526704,C-MX-8x,33,12.0
1030 N KNOX CT,E-RH-2.5,21.0,840.9149973153691,E-RH-2.5,21,0.0
1085 N JULIAN ST,E-RH-2.5,10.0,586.574580877656,C-MX-8x,17,7.0
2704 W 13TH AVE,C-MX-8,17.0,997.9200888380711,C-MX-8,17,0.0
2646 W 13TH AVE,C-MX-8,17.0,1068.4865750339404,C-MX-8,17,0.0
2541 W HOLDEN PL,C-MX-8,33.0,1374.716468300375,C-MX-8,33,0.0
2727 W HOLDEN PL,C-MX-8,33.0,924.9338221554929,C-MX-8,33,0.0
2609 W 12TH AVE,C-MX-5,13.0,1520.9518412177952,C-MX-5,13,0.0
2613 W 12TH AVE,C-MX-5,15.0,1478.998264943554,C-MX-5,15,0.0
2615 W 12TH AVE,C-MX-5,17.0,1437.5576638834136,C-MX-5,17,0.0
2619 W 12TH AVE,C-MX-5,19.0,1396.6752080951264,C-MX-5,19,0.0
2635 W 12TH AVE,C-MX-5,20.0,1356.4013671031616,C-MX-5,20,0.0
1442 N MEADE ST,G-RH-3,12.0,1478.433860945937,G-RH-3,12,0.0
1426 N MEADE ST,G-RH-3,12.0,1390.6169443718682,G-RH-3,12,0.0
1420 N MEADE ST,G-RH-3,12.0,1347.3435296081936,G-RH-3,12,0.0
1414 N MEADE ST,G-RH-3,12.0,1304.5502350742147,G-RH-3,12,0.0
1420 N NEWTON ST,G-RH-3,12.0,1541.8331135903068,G-RH-3,12,0.0
1435 N MEADE ST,G-RH-3,12.0,1524.3441590514067,G-RH-3,12,0.0
1445 N MEADE ST,G-RH-3,16.0,1565.488749051336,G-RH-3,16,0.0
1434 N NEWTON ST,G-RH-3,8.0,1579.8302240416656,G-RH-3,8,0.0
3729 W 14TH AVE,G-RH-3,9.0,1467.995584601068,G-RH-3,9,0.0
1476 N OSCEOLA ST,G-RH-3,12.0,1889.811579030018,G-RH-3,12,0.0
1462 N OSCEOLA ST,G-RH-3,12.0,1794.0028964093183,G-RH-3,12,0.0
1448 N OSCEOLA ST,G-RH-3,12.0,1746.2737677528767,G-RH-3,12,0.0
1444 N OSCEOLA ST,G-RH-3,8.0,1714.955583647262,G-RH-3,8,0.0
1438 N OSCEOLA ST,G-RH-3,8.0,1683.3750047716132,G-RH-3,8,0.0
1434 N OSCEOLA ST,G-RH-3,8.0,1651.2175619705451,G-RH-3,8,0.0
1401 N NEWTON ST,G-RH-3,9.0,1518.115010206273,G-RH-3,9,0.0
1409 N NEWTON ST,G-RH-3,8.0,1551.0968665141602,G-RH-3,8,0.0
1413 N NEWTON ST,G-RH-3,8.0,1581.9946904477322,G-RH-3,8,0.0
1419 N NEWTON ST,G-RH-3,8.0,1612.153265277775,G-RH-3,8,0.0
1425 N NEWTON ST,G-RH-3,8.0,1642.8554431756809,G-RH-3,8,0.0
1431 N NEWTON ST,G-RH-3,8.0,1673.6887788221536,G-RH-3,8,0.0
1435 N NEWTON ST,G-RH-3,8.0,1704.1622425369824,G-RH-3,8,0.0
1459 N NEWTON ST,G-RH-3,10.0,1813.415801867418,G-RH-3,10,0.0
1468 N PERRY ST,U-RH-2.5,21.0,1777.3705868597897,U-RH-2.5,21,0.0
1442 N PERRY ST,U-RH-2.5,21.0,1615.8580339513996,U-RH-2.5,21,0.0
1424 N PERRY ST,U-RH-2.5,21.0,1517.525973743609,U-RH-2.5,21,0.0
1418 N PERRY ST,U-RH-2.5,21.0,1467.1709007759518,U-RH-2.5,21,0.0
1410 N PERRY ST,U-RH-2.5,18.0,1423.0039100475321,U-RH-2.5,18,0.0
1407 N OSCEOLA ST,U-RH-2.5,21.0,1406.698250643721,U-RH-2.5,21,0.0
1415 N OSCEOLA ST,U-RH-2.5,21.0,1455.2873520330443,U-RH-2.5,21,0.0
1429 N OSCEOLA ST,U-RH-2.5,21.0,1552.7329300831364,U-RH-2.5,21,0.0
1437 N OSCEOLA ST,U-RH-2.5,21.0,1601.5727711444588,U-RH-2.5,21,0.0
1420 N QUITMAN ST,U-RH-2.5,21.0,1467.3207519433554,U-RH-2.5,21,0.0
1421 N PERRY ST,U-RH-2.5,21.0,1498.5578621069992,U-RH-2.5,21,0.0
1441 N PERRY ST,U-RH-2.5,21.0,1617.277044464416,U-RH-2.5,21,0.0
1453 N PERRY ST,U-RH-2.5,21.0,1667.2740731788467,U-RH-2.5,21,0.0
1470 N RALEIGH ST,U-RH-2.5,21.0,1800.0943160456886,U-RH-2.5,21,0.0
1460 N RALEIGH ST,U-RH-2.5,21.0,1750.9946031325962,U-RH-2.5,21,0.0
1458 N RALEIGH ST,U-RH-2.5,21.0,1701.9471247078138,U-RH-2.5,21,0.0
1446 N RALEIGH ST,U-RH-2.5,16.0,1663.8312645453955,U-RH-2.5,16,0.0
1436 N RALEIGH ST,U-RH-2.5,16.0,1628.4840860528038,U-RH-2.5,16,0.0
1424 N RALEIGH ST,U-RH-2.5,16.0,1555.1677614228715,U-RH-2.5,16,0.0
1410 N RALEIGH ST,U-RH-2.5,21.0,1457.6787059071064,U-RH-2.5,21,0.0
1400 N RALEIGH ST,U-RH-2.5,21.0,1409.0659790087652,U-RH-2.5,21,0.0
1453 N QUITMAN ST,U-RH-2.5,21.0,1679.4402513722318,U-RH-2.5,21,0.0
1461 N QUITMAN ST,U-RH-2.5,21.0,1729.109720272618,U-RH-2.5,21,0.0
1469 N QUITMAN ST,U-RH-2.5,21.0,1778.7975942462438,U-RH-2.5,21,0.0
1424 N STUART ST,U-RH-2.5,17.0,1640.4650088885305,U-RH-2.5,17,0.0
1410 N STUART ST,U-RH-2.5,17.0,1567.8887859538765,U-RH-2.5,17,0.0
1435 N RALEIGH ST,U-RH-2.5,21.0,1643.4470894835783,U-RH-2.5,21,0.0
1451 N RALEIGH ST,U-RH-2.5,21.0,1749.8438285819318,U-RH-2.5,21,0.0
1461 N RALEIGH ST,U-RH-2.5,21.0,1797.601852014397,U-RH-2.5,21,0.0
1336 N STUART ST,U-RH-2.5,16.0,1171.850448886338,U-RH-2.5,16,0.0
1328 N STUART ST,U-RH-2.5,17.0,1138.5527727299975,U-RH-2.5,17,0.0
1324 N STUART ST,U-RH-2.5,18.0,1104.8503657182553,U-RH-2.5,18,0.0
1320 N STUART ST,U-RH-2.5,18.0,1071.275539755662,U-RH-2.5,18,0.0
1337 N RALEIGH ST,U-RH-2.5,21.0,1075.979640262665,U-RH-2.5,21,0.0
1355 N RALEIGH ST,U-RH-2.5,31.0,1119.8950299859287,U-RH-2.5,31,0.0
1325 N RALEIGH ST,U-RH-2.5,21.0,947.854985773215,U-RH-2.5,21,0.0
1331 N RALEIGH ST,U-RH-2.5,21.0,989.8810910461935,U-RH-2.5,21,0.0
1344 N STUART ST,U-RH-2.5,16.0,1265.3074774526915,U-RH-2.5,16,0.0
1382 N RALEIGH ST,U-RH-2.5,21.0,1234.9758995808418,U-RH-2.5,21,0.0
1346 N RALEIGH ST,U-RH-2.5,21.0,996.669653867487,U-RH-2.5,21,0.0
1338 N RALEIGH ST,U-RH-2.5,21.0,949.7295724438062,U-RH-2.5,21,0.0
1330 N RALEIGH ST,U-RH-2.5,21.0,903.117349353187,U-RH-2.5,21,0.0
1310 N RALEIGH ST,U-RH-2.5,21.0,811.1044917769769,U-RH-2.5,21,0.0
1300 N RALEIGH ST,U-RH-2.5,21.0,765.8490579587005,U-RH-2.5,21,0.0
1321 N QUITMAN ST,U-RH-2.5,21.0,811.8839595678144,U-RH-2.5,21,0.0
1335 N QUITMAN ST,U-RH-2.5,21.0,909.2695987116649,U-RH-2.5,21,0.0
1327 N QUITMAN ST,U-RH-2.5,21.0,860.5019761809806,U-RH-2.5,21,0.0
1301 N QUITMAN ST,U-RH-2.5,21.0,715.2187523876967,U-RH-2.5,21,0.0
1311 N QUITMAN ST,U-RH-2.5,21.0,763.4443043277072,U-RH-2.5,21,0.0
1360 N RALEIGH ST,U-RH-2.5,21.0,1091.3650570869693,U-RH-2.5,21,0.0
1351 N QUITMAN ST,U-RH-2.5,21.0,1007.1669319788772,U-RH-2.5,21,0.0
1380 N QUITMAN ST,U-RH-2.5,21.0,1187.3336508152477,U-RH-2.5,21,0.0
1360 N QUITMAN ST,U-RH-2.5,21.0,1037.3411491860224,U-RH-2.5,21,0.0
1305 N PERRY ST,U-RH-2.5,21.0,687.356477604501,U-RH-2.5,21,0.0
1351 N PERRY ST,U-RH-2.5,16.0,987.321913176437,U-RH-2.5,16,0.0
1357 N PERRY ST,U-RH-2.5,16.0,1025.37684798485,U-RH-2.5,16,0.0
1369 N PERRY ST,U-RH-2.5,16.0,1099.7263507645496,U-RH-2.5,16,0.0
1381 N PERRY ST,U-RH-2.5,16.0,1175.0899734759885,U-RH-2.5,16,0.0
1387 N PERRY ST,U-RH-2.5,16.0,1212.3036071098184,U-RH-2.5,16,0.0
1393 N PERRY ST,U-RH-2.5,16.0,1250.2763748536793,U-RH-2.5,16,0.0
1390 N QUITMAN ST,U-RH-2.5,21.0,1237.331226216847,U-RH-2.5,21,0.0
1321 N PERRY ST,U-RH-2.5,21.0,787.3430530200137,U-RH-2.5,21,0.0
1315 N PERRY ST,U-RH-2.5,21.0,737.3494455842911,U-RH-2.5,21,0.0
1370 N QUITMAN ST,U-RH-2.5,21.0,1087.3386048523566,U-RH-2.5,21,0.0
1350 N QUITMAN ST,U-RH-2.5,21.0,987.3437419968111,U-RH-2.5,21,0.0
1372 N QUITMAN ST,U-RH-2.5,21.0,1137.3361061003006,U-RH-2.5,21,0.0
1368 N PERRY ST,U-RH-2.5,16.0,1092.085880732833,U-RH-2.5,16,0.0
1360 N PERRY ST,U-RH-2.5,21.0,1042.9887656091278,U-RH-2.5,21,0.0
1331 N OSCEOLA ST,U-RH-2.5,16.0,903.6016464356627,U-RH-2.5,16,0.0
1337 N OSCEOLA ST,U-RH-2.5,16.0,943.6192040306613,U-RH-2.5,16,0.0
1355 N OSCEOLA ST,U-RH-2.5,15.0,974.8848152745469,U-RH-2.5,15,0.0
1350 N PERRY ST,U-RH-2.5,21.0,946.0728173160542,U-RH-2.5,21,0.0
1320 N PERRY ST,U-RH-2.5,21.0,800.891061439517,U-RH-2.5,21,0.0
1300 N PERRY ST,U-RH-2.5,21.0,704.5715803485399,U-RH-2.5,21,0.0
1323 N OSCEOLA ST,U-RH-2.5,16.0,868.7267190818345,U-RH-2.5,16,0.0
1359 N OSCEOLA ST,U-RH-2.5,16.0,1007.7102487427271,U-RH-2.5,16,0.0
1350 N OSCEOLA ST,U-RH-2.5,16.0,1085.2707216770975,U-RH-2.5,16,0.0
1320 N OSCEOLA ST,U-RH-2.5,21.0,945.3317905802169,U-RH-2.5,21,0.0
1305 N NEWTON ST,U-RH-2.5,28.0,944.1510347843754,U-RH-2.5,28,0.0
1325 N NEWTON ST,U-RH-2.5,21.0,1028.780548635364,U-RH-2.5,21,0.0
1345 N NEWTON ST,U-RH-2.5,21.0,1147.2719168421702,U-RH-2.5,21,0.0
1357 N NEWTON ST,U-RH-2.5,25.0,1188.350573143161,U-RH-2.5,25,0.0
1359 N NEWTON ST,U-RH-2.5,17.0,1238.3329683848574,U-RH-2.5,17,0.0
3890 W 14TH AVE,U-RH-2.5,21.0,1342.6252167214475,U-RH-2.5,21,0.0
1341 N NEWTON ST,U-RH-2.5,12.0,1139.7591638696144,U-RH-2.5,12,0.0
1386 N NEWTON ST,G-MU-5,21.0,1311.3852494762143,G-MU-5,21,0.0
1370 N NEWTON ST,G-MU-5,21.0,1280.2704535842934,G-MU-5,21,0.0
1365 N MEADE ST,G-MU-5,21.0,1140.2362835279996,G-MU-5,21,0.0
1371 N MEADE ST,G-MU-5,21.0,1172.9127054288626,G-MU-5,21,0.0
1381 N MEADE ST,G-MU-5,21.0,1206.7752277289965,G-MU-5,21,0.0
1388 N MEADE ST,G-MU-5,18.0,1110.7991342580247,G-MU-5,18,0.0
1380 N MEADE ST,G-MU-5,18.0,1076.4303334613105,G-MU-5,18,0.0
1280 N MEADE ST,G-MU-3,9.0,698.4416492963289,G-MU-3,9,0.0
1278 N MEADE ST,G-MU-3,9.0,689.7304795857256,G-MU-3,9,0.0
1272 N MEADE ST,G-MU-3,19.0,678.3530925955716,G-MU-3,19,0.0
1295 N LOWELL BLVD,G-MU-3,36.0,533.0285438105828,C-MX-8x,96,60.0
1241 N MEADE ST,G-MU-3,19.0,865.62586635528,G-MU-3,19,0.0
1251 N MEADE ST,G-MU-3,19.0,864.976455037049,G-MU-3,19,0.0
1263 N MEADE ST,G-MU-3,12.0,865.9682864723314,G-MU-3,12,0.0
1271 N MEADE ST,G-MU-3,12.0,869.7918577911038,G-MU-3,12,0.0
1230 N NEWTON ST,G-MU-3,5.0,948.6792929086486,G-MU-3,5,0.0
1276 N OSCEOLA ST,G-MU-3,12.0,708.3542821388814,G-MU-3,12,0.0
1260 N OSCEOLA ST,G-MU-3,12.0,646.4541481655958,C-MX-8x,33,21.0
1216 N OSCEOLA ST,G-MU-3,9.0,538.7671664593305,C-MX-8x,25,16.0
1215 N NEWTON ST,G-MU-3,12.0,673.8917039130706,G-MU-3,12,0.0
1247 N NEWTON ST,G-MU-3,12.0,722.4752450803029,G-MU-3,12,0.0
1228 N PERRY ST,G-MU-3,12.0,279.6256540343057,C-MX-8x,33,21.0
1218 N QUITMAN ST,G-MU-3,6.0,120.02520895214514,C-MX-8x,17,11.0
1271 N PERRY ST,G-MU-3,12.0,419.9016431460981,C-MX-8x,33,21.0
1287 N PERRY ST,G-MU-3,9.0,519.8151263599882,C-MX-8x,25,16.0
1274 N RALEIGH ST,G-MU-3,19.0,556.316536482881,C-MX-8x,50,31.0
1247 N QUITMAN ST,G-MU-3,15.0,332.485079395908,C-MX-8x,39,24.0
1253 N QUITMAN ST,G-MU-3,8.0,382.15075268637474,C-MX-8x,22,14.0
1267 N QUITMAN ST,G-MU-3,6.0,485.33263759381725,C-MX-8x,17,11.0
1260 N RALEIGH ST,G-MU-3,15.0,510.2293241022197,C-MX-8x,39,24.0
1265 N RALEIGH ST,G-MU-3,12.0,671.4644424496677,G-MU-3,12,0.0
1287 N RALEIGH ST,G-MU-3,12.0,738.0969953530304,G-MU-3,12,0.0
1297 N RALEIGH ST,G-MU-3,12.0,774.1058411431628,G-MU-3,12,0.0
1232 N STUART ST,G-MU-3,14.0,683.6357110484868,G-MU-3,14,0.0
1255 N STUART ST,G-MU-3,9.0,916.7120574825163,G-MU-3,9,0.0
1350 N WINONA CT,U-RH-2.5,21.0,1765.8609393999338,U-RH-2.5,21,0.0
1374 N WINONA CT,U-RH-2.5,21.0,1843.425995514839,U-RH-2.5,21,0.0
1364 N WINONA CT,U-RH-2.5,21.0,1816.5746346818335,U-RH-2.5,21,0.0
1356 N WINONA CT,U-RH-2.5,21.0,1790.7053442337995,U-RH-2.5,21,0.0
1380 N WINONA CT,U-RH-2.5,22.0,1871.2174470573552,U-RH-2.5,22,0.0
1344 N WINONA CT,U-RH-2.5,20.0,1742.085159412928,U-RH-2.5,20,0.0
1255 N XAVIER ST,G-MU-5,22.0,785.3733341008704,G-MU-5,22,0.0
1245 N XAVIER ST,G-MU-5,22.0,765.9269562463355,G-MU-5,22,0.0
1235 N XAVIER ST,G-MU-5,22.0,750.1774375703507,G-MU-5,22,0.0
1265 N YATES ST,G-MU-5,21.0,513.261442260664,C-MX-8x,34,13.0
1255 N YATES ST,G-MU-5,21.0,483.3643494295729,C-MX-8x,34,13.0
1245 N YATES ST,G-MU-5,21.0,457.1885509214884,C-MX-8x,34,13.0
1270 N ZENOBIA ST,G-MU-5,26.0,446.3643050665317,C-MX-8x,42,16.0
1295 N ZENOBIA ST,G-RH-3,24.0,488.4511739805355,C-MX-8x,63,39.0
1250 N ZENOBIA ST,G-MU-5,20.0,406.7369827861863,C-MX-8x,32,12.0
1225 N XAVIER ST,G-MU-5,21.0,736.8711644249205,G-MU-5,21,0.0
1434 N WOLFF ST,U-RH-2.5,21.0,1881.885693036531,U-RH-2.5,21,0.0
1426 N WOLFF ST,U-RH-2.5,21.0,1844.159162447759,U-RH-2.5,21,0.0
1410 N WOLFF ST,U-RH-2.5,21.0,1807.027149894329,U-RH-2.5,21,0.0
1400 N WOLFF ST,U-RH-2.5,16.0,1752.5255893281428,U-RH-2.5,16,0.0
4725 W 14TH AVE,U-RH-2.5,16.0,1796.9223328355722,U-RH-2.5,16,0.0
1401 N WINONA CT,U-RH-2.5,31.0,1852.7428315362286,U-RH-2.5,31,0.0
1415 N WINONA CT,U-RH-2.5,21.0,1904.3766073081113,U-RH-2.5,21,0.0
1435 N WINONA CT,U-RH-2.5,21.0,1975.547925420474,U-RH-2.5,21,0.0
1476 N XAVIER ST,U-MS-5,21.0,1927.5061595481664,U-MS-5,21,0.0
1460 N XAVIER ST,U-RH-2.5,21.0,1839.6140272945102,U-RH-2.5,21,0.0
1438 N XAVIER ST,U-RH-2.5,21.0,1710.2586105044363,U-RH-2.5,21,0.0
1409 N WOLFF ST,U-RH-2.5,21.0,1667.6360392356935,U-RH-2.5,21,0.0
1435 N WOLFF ST,U-RH-2.5,21.0,1767.2254621928407,U-RH-2.5,21,0.0
1437 N WOLFF ST,U-RH-2.5,21.0,1807.9424792236614,U-RH-2.5,21,0.0
1451 N WOLFF ST,U-RH-2.5,21.0,1849.1133641817562,U-RH-2.5,21,0.0
1448 N YATES ST,U-RH-2.5,21.0,1660.613397876122,U-RH-2.5,21,0.0
1442 N YATES ST,U-RH-2.5,21.0,1613.8738397789455,U-RH-2.5,21,0.0
1420 N YATES ST,U-RH-2.5,21.0,1474.9267777499767,U-RH-2.5,21,0.0
1415 N XAVIER ST,U-RH-2.5,21.0,1491.240948403432,U-RH-2.5,21,0.0
1425 N XAVIER ST,U-RH-2.5,21.0,1579.5350084568581,U-RH-2.5,21,0.0
1420 N ZENOBIA ST,G-RH-3,14.0,1395.6984332906068,G-RH-3,14,0.0
1415 N YATES ST,G-RH-3,15.0,1376.212945668046,G-RH-3,15,0.0
1425 N YATES ST,G-RH-3,15.0,1432.8005456970523,G-RH-3,15,0.0
1445 N YATES ST,G-RH-3,15.0,1549.6518324016856,G-RH-3,15,0.0
1410 N SHERIDAN BLVD,G-MU-5,21.0,1306.391942968116,G-MU-5,21,0.0
1401 N ZENOBIA ST,G-RH-3,12.0,1259.495092467229,G-RH-3,12,0.0
1453 N ZENOBIA ST,G-RH-3,12.0,1558.75397491609,G-RH-3,12,0.0
1455 N ZENOBIA ST,G-RH-3,12.0,1608.6519009270219,G-RH-3,12,0.0
1421 N ZENOBIA ST,G-RH-3,12.0,1359.2188129036592,G-RH-3,12,0.0
1451 N ZENOBIA ST,G-RH-3,12.0,1508.8608591975017,G-RH-3,12,0.0
1380 N SHERIDAN BLVD,G-MU-5,21.0,1076.5022495252447,G-MU-5,21,0.0
1360 N SHERIDAN BLVD,G-MU-5,21.0,926.5741894557094,G-MU-5,21,0.0
1310 N SHERIDAN BLVD,G-MU-5,21.0,664.0352875128457,G-MU-5,21,0.0
1317 N ZENOBIA ST,G-RH-3,14.0,682.4157647160018,G-RH-3,14,0.0
1325 N ZENOBIA ST,G-RH-3,14.0,738.5545399376007,G-RH-3,14,0.0
1335 N ZENOBIA ST,G-RH-3,14.0,794.2540983638314,G-RH-3,14,0.0
1375 N ZENOBIA ST,G-RH-3,12.0,1017.8435893678314,G-RH-3,12,0.0
1381 N ZENOBIA ST,G-RH-3,8.0,1067.5248880218924,G-RH-3,8,0.0
1350 N SHERIDAN BLVD,G-MU-5,21.0,876.5982112707621,G-MU-5,21,0.0
1360 N ZENOBIA ST,G-RH-3,12.0,962.8418632156438,G-RH-3,12,0.0
1350 N ZENOBIA ST,G-RH-3,12.0,914.8481816011001,G-RH-3,12,0.0
1320 N ZENOBIA ST,G-RH-3,16.0,713.3865571582272,G-RH-3,16,0.0
1311 N YATES ST,G-RH-3,12.0,765.513851990548,G-RH-3,12,0.0
1341 N YATES ST,G-RH-3,12.0,896.6047836921919,G-RH-3,12,0.0
1353 N YATES ST,G-RH-3,12.0,941.5520605110232,G-RH-3,12,0.0
1365 N YATES ST,G-RH-3,16.0,986.9829442143633,G-RH-3,16,0.0
1371 N YATES ST,G-RH-3,16.0,1045.1445514980232,G-RH-3,16,0.0
1395 N YATES ST,G-RH-3,22.0,1160.7637784203646,G-RH-3,22,0.0
1379 N YATES ST,G-RH-3,16.0,1102.2827388327555,G-RH-3,16,0.0
1394 N YATES ST,U-RH-3A,12.0,1266.7366618383273,U-RH-3A,12,0.0
1310 N YATES ST,U-RH-3A,12.0,871.9344553959729,U-RH-3A,12,0.0
1315 N XAVIER ST,U-RH-3A,12.0,970.4569668366414,U-RH-3A,12,0.0
1321 N XAVIER ST,U-RH-3A,12.0,1004.7082267714644,U-RH-3A,12,0.0
1343 N XAVIER ST,U-RH-3A,12.0,1095.6352533239804,U-RH-3A,12,0.0
1376 N XAVIER ST,U-RH-3A,12.0,1362.9850356109625,U-RH-3A,12,0.0
1335 N WOLFF ST,U-RH-3A,12.0,1295.123820851374,U-RH-3A,12,0.0
1387 N WOLFF ST,U-RH-3A,12.0,1494.3704079427796,U-RH-3A,12,0.0
1334 N XAVIER ST,U-RH-3A,12.0,1186.182003604948,U-RH-3A,12,0.0
1300 N XAVIER ST,U-RH-3A,12.0,1066.002148805977,U-RH-3A,12,0.0
1326 N XAVIER ST,U-RH-3A,12.0,1154.06660206284,U-RH-3A,12,0.0
1318 N XAVIER ST,U-RH-3A,12.0,1123.2570238674257,U-RH-3A,12,0.0
1343 N WOLFF ST,U-RH-3A,12.0,1325.704756108583,U-RH-3A,12,0.0
1310 N XAVIER ST,U-RH-3A,12.0,1093.863077538352,U-RH-3A,12,0.0
1342 N XAVIER ST,U-RH-3A,12.0,1219.499825904964,U-RH-3A,12,0.0
1386 N WOLFF ST,U-RH-3A,12.0,1628.3701285904476,U-RH-3A,12,0.0
1368 N WOLFF ST,U-RH-3A,12.0,1564.083819864753,U-RH-3A,12,0.0
1341 N WINONA CT,U-RH-3A,12.0,1580.0689957981476,U-RH-3A,12,0.0
1355 N WINONA CT,U-RH-3A,12.0,1633.059540025946,U-RH-3A,12,0.0
1333 N WINONA CT,U-RH-3A,12.0,1555.3061731692328,U-RH-3A,12,0.0
1365 N WINONA CT,U-RH-3A,12.0,1661.1762005382468,U-RH-3A,12,0.0
1345 N WINONA CT,U-RH-3A,12.0,1606.005516331459,U-RH-3A,12,0.0
1375 N WINONA CT,U-RH-3A,12.0,1690.302997300762,U-RH-3A,12,0.0
1247 N UTICA ST,G-MU-5,20.0,1696.1496991145311,G-MU-5,20,0.0
1249 N UTICA ST,U-RH-3A,12.0,1710.7082826895107,U-RH-3A,12,0.0
1243 N UTICA ST,G-MU-5,29.0,1660.7522631909249,G-MU-5,29,0.0
4885 W 11TH AVE,U-RH-3A,15.0,825.3120674053315,U-RH-3A,15,0.0
4895 W 11TH AVE,U-RH-3A,14.0,775.5764546971341,U-RH-3A,14,0.0
5175 W 10TH AVE,C-MX-5,15.0,617.5980736739473,C-MX-8x,24,9.0
4880 W 11TH AVE,U-RH-3A,16.0,903.7860305068903,U-RH-3A,16,0.0
4890 W 11TH AVE,U-RH-3A,13.0,860.769827376828,U-RH-3A,13,0.0
4845 W 10TH AVE,U-RH-3A,15.0,1047.6146104862057,U-RH-3A,15,0.0
5050 W 10TH AVE,E-RH-2.5,22.0,826.9520089707765,E-RH-2.5,22,0.0
982 N ZENOBIA ST,E-RH-2.5,21.0,900.478292811556,E-RH-2.5,21,0.0
978 N ZENOBIA ST,E-RH-2.5,21.0,949.7817909960594,E-RH-2.5,21,0.0
972 N ZENOBIA ST,E-RH-2.5,21.0,998.1742776917442,E-RH-2.5,21,0.0
968 N ZENOBIA ST,E-RH-2.5,21.0,1046.994971003798,E-RH-2.5,21,0.0
948 N ZENOBIA ST,E-RH-2.5,21.0,1146.5618983322875,E-RH-2.5,21,0.0
938 N ZENOBIA ST,E-RH-2.5,21.0,1195.4082622843227,E-RH-2.5,21,0.0
928 N ZENOBIA ST,E-RH-2.5,21.0,1245.924716848828,E-RH-2.5,21,0.0
918 N ZENOBIA ST,E-RH-2.5,21.0,1294.5628880902275,E-RH-2.5,21,0.0
904 N ZENOBIA ST,E-RH-2.5,21.0,1342.6779541215692,E-RH-2.5,21,0.0
900 N SHERIDAN BLVD,C-RX-5,20.0,1322.2338324102484,C-RX-5,20,0.0
944 N SHERIDAN BLVD,C-RX-5,20.0,1008.2614037712991,C-RX-5,20,0.0
945 N ZENOBIA ST,U-RX-5,20.0,1010.1965889279198,U-RX-5,20,0.0
936 N SHERIDAN BLVD,C-RX-5,20.0,1060.6656234031618,C-RX-5,20,0.0
928 N SHERIDAN BLVD,C-RX-5,20.0,1113.0688932018809,C-RX-5,20,0.0
920 N SHERIDAN BLVD,C-RX-5,20.0,1165.4231208256049,C-RX-5,20,0.0
912 N SHERIDAN BLVD,C-RX-5,20.0,1218.5959772247713,C-RX-5,20,0.0
904 N SHERIDAN BLVD,C-RX-5,20.0,1270.4149028817171,C-RX-5,20,0.0
901 N ZENOBIA ST,U-RX-5,20.0,1323.8303397054597,U-RX-5,20,0.0
905 N ZENOBIA ST,U-RX-5,20.0,1272.0556052135505,U-RX-5,20,0.0
921 N ZENOBIA ST,U-RX-5,20.0,1167.1597293136679,U-RX-5,20,0.0
929 N ZENOBIA ST,U-RX-5,20.0,1114.8690596688625,U-RX-5,20,0.0
937 N ZENOBIA ST,U-RX-5,20.0,1062.5243542091216,U-RX-5,20,0.0
826 N SHERIDAN BLVD,E-RH-2.5,30.0,1818.7610695104356,E-RH-2.5,30,0.0
891 N ZENOBIA ST,E-RH-2.5,28.0,1436.5780312798986,E-RH-2.5,28,0.0
879 N ZENOBIA ST,E-RH-2.5,31.0,1512.1150054219606,E-RH-2.5,31,0.0
